key_id,key_bits,overall_passed,frequency_passed,run_count_passed,run_L1_passed,template_4_1_passed,template_4_2_passed,template_4_3_passed,template_4_4_passed,linear_complexity_passed,blind_spot_complexity_passed,frequency,run_count,run_L1,template_4_1,template_4_2,template_4_3,template_4_4,linear_complexity,blind_spot_complexity
1,01001101001011101100011111100001010100001010011001010001101010011010100101101011000110100010111110101101100111010000110110000001110010000101001101101001010001111100110011010110100010001111101101110110001000101101010100110101010001101000000111101011100110000000000111001111000100100110100101110110000100011011100011110010001010101100010001000000101011110010111010001101100100000001101110110011001111111010011000110101100101010000111010111010011111000010111101100010110101011011100111000000010000101000101011011000101111010001100100111111100011011001100010110001100010001001100111100010000010110000110000001111000100101110011001110011111111100111101000110001000111101100001000000011111001010101011000111000011000001100001011101010001001100011010110111100001010010100000000000100010001001010101101001011011010000101101000000111100001011010100011101111010001100100110010110111010000011101110001111001011101110010100111100100111111000111110100100110110011111100100001000000000101001001010111010000111100101010011111000110001010010010111110011010001111110000111011001100101001101011011100101110110100101010001100101011000001111010101011101011011110011101011101010100010000110101000111001101100011110101100111100000010010010011111010000011000100000101010101001011000110011001011011011111110100001011001000110110111000010000001110100011011010110111010011100100110011001101010011011111110101001100101000001010011010011010111001011100101100011101000101101001111101101011001110001000100011101100010001010101101000101101101011101010110101010101110110000111010001100111000100100010111000000000110010110110011111111100000101001011111111001101110100111111110011000111110110011110001011000111100001000110011111111101000010000110001011001001101111010001001001100000000110101100101110001001111010101101111110101110110110001010001011001100010001010011000110101001100011101101001011111100101111101011010001110100001000001100011011100010100111101011101111111101011000010001100000011100111111000001011111010001110101110000010000001000110001100111001001010001101110011110,True,True,True,True,True,True,True,True,True,True,1012,1039,525,120,136,122,139,1023,1024
2,01110010001001100101000001010011001110001011001000101000000001100111101101101110001101110100000001110011010101100110010000100001011111001110100100001111011000100111101101000001000111000001101010010111011010100000100111010000100110011101100100010001000100100100001111101001100000111011001100001100010111000110111100001000101111000000110101000110010011010000101111111100100010001111100001011100100001011110001101110000010000101011010110000001100111010100010111000100111011101111110010111111001111111111001010101110111100111001101111010010011000000111001001000101000111011000010010111110011100111100110011111000010011001110001101001011101111101110111000000010000010000011011100100010001000011100011110010010100001011000101101000110011001001001111100101011011111111100111111101100000110101110010000010111011101101100011010101011000000001001111000001111010011101111000001101001101011110000110111010001011110100111010100110101000010011110010101001100011001000110010110010010111001111010011010001001101101110100011000001001100001110101011110011000010111111010001100001110111001001000101000010011011001010100111101101110000110111001001000011100000101000111011111101011101010101100101110100101001000111110011100001110011001010011011111110111110111111101100110100111101111110001010100100111111111110000001100001100101101111110110110100011100110101110010011000011001001111100111001010011001100100000000000001001101100010001001001000010100011011000101011100011001000100111010001010100000000110011110001110101100011000111111101010110111110111000010011110011111100110010111110111100001000000101000010100010001101011010111010010000111110110101011110111111111101001111100000011011010001101100000000111001011100101110010011101111011100100000010100011011110001110100110001100011111010011110100100111101111111010101111011111000110000011100101100000101111100011100100110000001101110110011111011011110000100011001110111011001111001101110001110011111101100010100001010011010000111111001011100111010111000100101010111010100000101111001111000001001001100110011101000011011,False,True,True,False,True,True,True,True,True,True,1035,966,439,133,96,125,129,1024,1024
3,01011111011101010110111110111011101110110100111110001101010100101010100000110110000111100111010001011000000100100011111010110001110111010001111100011011010110011111010010110110010011000101111001011001000000011001000010111010001000011100000010011001101011100001110101001011011001000100111010010110011111110110110110010100100101111001010001111010110001111110001110010100101111111101111000011000001011110010001001111000010110010111111100101111111110100101000000001100101001101100001011111000010011001001010100010111001101110001110011011001011010010000001000011100010110011011101000100110100110000111001001010111010011111010110010010011100101110111100000000111110110010000011111010110001110010011000001001011011001100010100010101100001000111010010011101001100110011011110110111100011110010101110000010011000101100010011010011100100010101100001000000100100100001011110110001111101100011110100011111100011010101111001001111101100101100000111100111110000101110011001101110110100100010011011101100010011001100010011100000011000101000111110101011001010100001001111110110010101011110111101001000100101000110111010100111110000101110110100110000100110110001000100111011010000101001011110011010110110100101111111111001101000111101111001111111011011011111100010001001111000111000000110010001000000110100101101100010001001101101011011011001001011100011001101000000000101111110001001100111011101101001111001111110111100011001100011111001101100010111011000000001111100001100101110000001110101001111110111100011110111011001001110001111111000101001001111101001011111100001000011110100101001101101111011100010110011111111111111100000111101100111010000011101001111111100010101001010011010000010000001111101100101001100001101011010101110001110011010101011000000101101001000010110100110111110011110000110001110000010010011010111110000011011000111010001000110111100100100000001100010100011101011101011111001010010100111101001110000001001110100010010011000000101110010111011110100111101101101011111001000011101110111011110010100011001011100011010101111001111000011000011100,True,True,True,True,True,True,True,True,True,True,1054,993,467,114,107,129,121,1025,1023
4,10100011001110011111010011001001011010000111011101100011101111010001001100001111110111100001110011000110010100000001001110010101011010010100011100010101111101001000110110110000110110001011101100110110010011010010110100000111111101100111001010110001000100111111101000110101001101010001100101000001100111001010111000001101110010001101100001010101000000110100111000111011011111000001110100111000010000010011010101011100100001010100110110001111111100011111110110010010011101011111110000000000011101111111111010011010011011100101001101011110001010000101111011011100111110000111001100011011111100101001111001101110100010110110100000000001101011111100101001011111011100011101110001000000000001000000110110000101011010100111010000000010001101101010001111010101111110001000011010011011000100001100011111011110001010111111101110001000110011000001001101010001000111101100111001001001011111100111011111110000001001000000000110100110001000011011100010011101101011100111001010110011011000110000010000110111110000010111110001111010010000111101010110111111001110001100101010011001111111011101001001011010101111010011001111011010000000011110001100101011000111011000000001100110111110011001100011111101001110101001101010110001100011111001011000100011000110011110100010101111111101010001100001001001110001101000110001110011110011101101111010010111111111010010000011000000110011000100100100111111100100101111111101001110011111111111100001010101001010011000110111010000100011000101110101111011100110101111011110001010001010000011010100000111100110101000010111111000101001100110011000010001000010010010010001000010010100001111011010011110101111011100110011011101110111000010010010001111101001010001111110010011000001000110001110100100001010001010111010110100101001000000000111100000110010101100100010101011001010001000100111001111101011100001101001101111101111100010101001101000101111010111000101110110001011111111010101001110111101011100110010101110111100111010100000001001110110010100100110011100111100011011010100011000111100000100001001010101110000100110111010111110,True,True,True,True,True,True,True,True,True,True,1038,992,482,126,113,115,129,1024,1024
5,11100000111100110111111010001001100100101001100111111010111000100011000011010111100110110101011011001110001100100101100100100010011011010111001001011010101110000010000110110101000101000101101110011111111110110100101001101111010011000111010001110010011000011110001111001100101001001000111000011110110001100010010010011100111011110101101010000000011111100100101101011001101100001011100000010010111110010100101110101110101100000000110000000110111011111100111000111101110010101110110101011011010101001111011011110000000001001100010100000100110010100000000010100100001011111101110100110110000001010010011100010111000111110001000110010100000001100110110011011010001100110101000110011010111001110001010100001101111011001100011110001000101101110010001100010101010100011011110111100111011100110011011111000111100001011011101001011110101100110100111100101000010000101010000111000111111000111011011010000010110000001111000110111111110000010001101110100000010101100110110010010010101000110110010101111001010101110001000001010010101110001111010101001100001100000001000100101110000000101000010001111110011000101000101000100011100110001111010011111001001111010100110011111010110010111011111101010101100011100011000000000000101011000111011111011001111110010001000110010101000111100110110100100101010001110010001111111111111000000110000100111010111100010111111011000101011111011010110010001111011111100000010001111011001010011010110111011111001001101001001011001101110111011111100000000101101001110111011100101010101100111101011110010111101100000100011101110101000101111011000110111001111010000101001110101110110111110001100100100000111010101110101000010110011011100011011101110101000111001100111100001100001110110101110110111110100010100011110000101011101000001110000001100101011010111100001111010011110101111010011001111011011111101010001000110010110011100011011111101101011101010100010001011011000110001100101010011101010110100101000110100110001010010000000000010011111111010011101001010111111101001101110110001010010100101101001000110111000011000010110100110100,True,True,True,True,True,True,True,True,True,True,1042,1030,520,121,134,116,123,1025,1024
6,10111001110100011101010110001101010011101001101001101111000111010010111011100011001100110000101011111010010101100011110101001111011011001011101100110111111000110011111111011011000001001001110010101001111111111110000000001111101110111100000111001011100000011110100000000110111101011011000110000010101000000011000111001001101110001010010010110100000101010110000010100110001000001001111110111111111001101000001000110010001100001000011001101101011010110001111110100100010010010001011011000011111000101100010100111101110101100001000101000111011010111011011010100111110101010000011111111000101000010010010100111000010101110101010100110111011010111110001100101001110111001001011011010111000011010000011101011110000110100000100111010010110100011000110100001000110011100011100111010011000100101101101100110101100110001000011000011110111111010000100011001010111010011010001101011010010111100110011101111101010011011011110101001111001101011110011111101111001001101010010000110111011100110000110110111000101000001100000010111110100010010011010011101001001100011000100010101000110011010011111011101010011000010011011101010010100111010001011100111100011101000110111110001011101100000100101110000100000001000100000111001000010110101101001101110110011010001011111110110111110000001000011010011111010000011010100100011100000110000001110111001111010110010100110100111100101110001100000011111110101110111111000110011101101001000111111110110101000111110100110000101111100010011100010001011110000101111001010010101001001000001000011011000000110011110011011101101101111111011010111100101100111010000110110010111001010000011101101110000000001100011110101111111001000011011111001100110001000010010000010001011010101111000001011011111101101010000101101011000001100010010110101110010110100010011111000010000110011111111011100011110000110010001011011001110011110011000000000000100101110000010111101010010011101100100101011100111011101100000001101011011011100010010000011011001011011001101100101110110110110011000111000011111001101100111011010000001101011011111100100111110011,True,True,True,True,True,True,True,True,True,True,1040,1005,482,133,106,111,124,1025,1025
7,11000100001100111001010010000101001110001011010001001111011100110011010000110011011001001101111001110001010011110000000001011000010001110000101110100010100011110010110110101101101110111101111100110010010011001000110100100000110110100101110011111110000011101001111100000111111100001111101010111000111000111110101001110010101111110010110100000010101011111101010011001010010110001001011001010100110001010010111110100100001101000010011000000100011110001100100110101001111011010001111111111001011110110101100000111011111110000000101101100101101111000101101100001011101000101011100001010100110011100110000001100011001110111111100100100010010010101010011110001110101111001111101110011101111110111101110011001000100100100000110010111111011111111011001011011111010110010001100101010011110100001001100011011011010000101001010101110100011101010101100001110001110000110010010100011011000100110010001111110001000011011010000100011101101011110001000100011000000110101000111110001110010111011100111000110101000110110100011110100001011110101101111000100011001000101100111111001010111100011001100111100000011110001010010100100110110110110001010011101111110110100011011010100010000010111100100010110001001011010011000001011011100001111100000111011011111111110110011110111000011100010001011111110100111010001011001101101100101100010000110101101000001100000101001110001101001011100001101100011101011000110111001111101010001000010101110010000110101101010110111010001011011001000100100000010010111111001000001110001100100001011011010100011010011110101110010100100101001111101010011110100000101110110000110001110001111010110011100011011100110111101110110110000110000110110000101100001001000000010111001010011111010010100001110101101010001100011011010100001110001010001111110100110011100011011100100101001001100101100001001000101100011100010000000010011010011010101100011011101000010011011100100111000011100101100001011001000110101100110000001011110001001101101101001001000111010011011011001011010010101101111011000011011101100001010110110100011000110001100110111111001000,True,True,True,True,True,True,True,True,True,True,1025,1032,496,101,117,132,138,1025,1024
8,01001110111001100011110100100011110101001010010001011100011101011011000100101100001011011110101011010001001010110100101111110110001011010001111010000100011000110000111001010111111011100001001000010010110101101010000000101110001100010001111010111001011000001101010011000101001101000011101011100000000000001001010111000101110111101101101101110001000111111100111100101010100110100101010011111001111011000100101110111001111010011000010000100010011000110111100010010010010110010000011101101000011010011000101010011010010100100101100110000000010001110111110000101000011100000001101111101100000101001101001100001110101101100011000000010100101010001100001110001111000100011000101101100110000100111101010100011101101110011001000111010101101111000011101010001000010001001001000111110001111000100011010101000011110110000100110101101000001111110010010110011100111100101110000111001100101011000011110011001111101011110101011000101101000010110110100101011110100010000101101010010101011111010001011011111010110011001110011111101111100101001101001011010110100000111011101010101110111111111001101100001100001111010011111101000101110010010001011000110011010001110101101010010000011111010011000100111011110100101011010111100000011110000010000000111100101001111100001100010000010110100100100001110101100100010010111101011111000010010001010100111100100100001111111101000010101110010111100001110100100011000000101111000100101111101111101101001111000111010011000111110110110111111000010001000000100000001101000100111111110000000010000110101101110000000110111001111011101010010011001100010000011010100111101010001100100101000110100000011010011011000101110011011001000110000011100011111011110110000111011100110100011010111101011000011111001111100110111101000110010101010001100010110111101011001100101101011011100001111000110111100010111001111100100010001111001101100100000010101111001101100000010111111101110100011101111010011000000100100110110101011001100111111010101000010100010100100001001001001011001011110011111110000110100111010011001010101110001100101100100100000011,True,True,True,True,True,True,True,True,True,True,1012,1026,515,126,126,131,136,1024,1027
9,10111001001010101101101100110011101110100001011110001100110110010110111001101100000101101010001101010111111010010100100101111100010001100100001101111010100010110111100011000010010101010000100110111101011000001101001011100100011100010110111000010110100110000001001000001110010001111110001010011110011110011001111001110111111000011011110101111110110100100111000000010101000111011110001111111100101001111000101101110010011101100000011110010100001110010110111111010010000011011011011111011101000101100000110001011100011000110010110101001000111000101111000110100101001100001100011111111011110110111101010000100111010011111101100010110110011111101001100110000000101011101100100000000000011110101111000010001111000001111010110110011000001111011110110000001111101001010011111000010111001111001110010011101010101011001010000011011110100011000110101000110110001001010010110101001011000110001111001111001111100111011011100101001111000010101000011010100011101001011110010110010010001000011101010111001010100111111010010000111110101110101010111010000110010101010100101100011110011000001101100101010000010110111101110000001000101001011111100110000001000110001110101000101011100010110110001011111110001110000000100010010010010010100000011011101001100000000010101100001010110001010001011001110110000010010011111100001110000001010101111110101001011011111000001111001010001001110100001100000101001000010001101000110100011011110011001001111101101010101100010011100011110000111110100011011011001010110110100000010111110101000111100101110000000011100110111110011100001000110001100001010111110100111111001110010110001001011101111010010000110101101000000011111010110000011011110110111001010111100110111010010000100001111011101101010011101110111000000000010100001011111010101010010010111010011010110101101001101000000001111011110010000100001100001011110100100000110000001110110100111001001101111111110110011111000101100110110100111000111110111001001100001111010101001110010101001110110111010101001110000010101010011110000100010111110100010000100110010100100100101101010000,True,True,True,True,True,True,True,True,True,True,1023,1020,521,141,135,123,124,1023,1022
10,10000001110011010111111110111110000101000100011100000100111101000101011100010000010001001111011011001000000011000101011100111001010111000110101010110000111010011011100011100000100000111001001110111000111000011001011001000100110000100100001100010011000100011111111100100010110111001011001011000111010101001110100101100100100011111101000001101011000010100100010101001110100000001101000001000001111010010110011100110000001001001111001110001111111000010110010101101110001011110001010101011000110011010000100011000011000101110110000010001111001001001001010101010110000010101101011100111101000000101010011001110011110111000000011010110101100001001110001001001101101011001110000100001111110111110111110011010110000101111001101100010100000001001110000000101011000100100000000111101111101000111100000011110100110000000010100100110000101110101000011010000100000101010011010101101011111101100000001100110000010010011011000011000001000010010111011000101101001010101001001000101101010101011100000100101100011111111111011001110111100000100000111001111000001011110101110000011110111000110110101011000000101101001101010111010001010100110001010110001110110111000000001010000111000110010101100010111010111010110101110101011001000110111010101100010010011100100000101110100010101000111110001110100101010011111100111110110100110110101001101000101110110101000100110100111010101110000100000111101110010010001011101000001011001100001100111100100100111101010100100100100111110110111011010100011000000000001111100010100001001001100110000101101010111100000011101110000101110011010001100101011010011011110011000111011101010110111011001010010100111001101000111010010001110100011011001000111100100011001111000101010000101000000101001000101101100001110110000101100001111101000101011001101001001100111101110010110101100001001111010000001011101011001111010100010001101110011010001010110101100011001011010010011111110110110000000110001101000110010001010000001001011000001111101001101011110011010001100000011001000110010001101010000010010100101100110101110111110111100100111011000111,True,True,True,True,True,True,True,True,True,True,970,1041,532,154,141,136,140,1026,1025
