key_id,key_bits,overall_passed,frequency_passed,run_count_passed,run_L1_passed,template_4_1_passed,template_4_2_passed,template_4_3_passed,template_4_4_passed,linear_complexity_passed,blind_spot_complexity_passed,frequency,run_count,run_L1,template_4_1,template_4_2,template_4_3,template_4_4,linear_complexity,blind_spot_complexity
1,00001100011101111011010000000111011000000100010001001011111001010100111111011110010101101001111111111111000010100111010111101100,True,True,True,True,True,True,True,True,True,True,69,57,29,9,7,7,7,64,63
2,01011101101011011100000000100000011110110000101101100010111010011010101111001111001101000100111010000011100110010101100110110110,True,True,True,True,True,True,True,True,True,True,64,67,34,11,8,5,6,61,64
3,00011001110101100001010100111000111011011100111011100011101001011011001110001000011011101010000111111111010011001001110010000110,True,True,True,True,True,True,True,True,True,True,67,63,27,4,5,5,8,65,64
4,01100000101110110001100001101101010100011010110110011111110001000000010111111100011011100101100000010100100101011000111100110110,True,True,True,True,True,True,True,True,True,True,63,63,31,10,9,7,9,65,64
5,11011010001001010100111011011101100001011001001010001101111110000111010010110001111100000100110001010011010100110101001101100110,True,True,True,True,True,True,True,True,True,True,64,72,37,4,8,8,7,63,64
6,11100110111011001111001011011011110001101000100001000001111100101110100011000000011110011111001111011101000100110001101011101000,True,True,True,True,True,True,True,True,True,True,67,58,23,7,3,5,8,64,63
7,01010100101110101010100111100010001010000101100001001010100111001000111111001100100101010101011000110001010011001111110110010100,True,True,True,True,True,True,True,True,True,True,61,77,47,2,17,11,7,63,63
8,00101001011011011011001010010110000100000001011000010111111001101000110101110110001010101011101000000011010000011010011100110000,True,True,True,True,True,True,True,True,True,True,57,69,38,13,11,8,7,63,63
9,00000000111010110000001111000011010101011001000111100000101110000010101110111001101010011101011000110100101000011101111101010001,True,True,True,True,True,True,True,True,True,True,60,64,36,14,11,4,9,64,66
10,00100101100000010100001100111100100111110110001011010100110000111111100101010000111111001011110111110101100110001110011101000000,True,True,True,True,True,True,True,True,True,True,65,59,27,9,8,7,6,64,62
11,11101000111011110001100010010101100001111001010100011000001011101101001011111101100100100111011110100100100111110111001111011010,True,True,True,True,True,True,True,True,True,True,70,66,33,3,6,9,6,62,64
12,10001111110001010010010011001011100000101010011100100010100001011000010001011111111111011101001100100101110110101010011100100101,True,True,True,True,True,True,True,True,True,True,64,69,39,4,11,14,7,64,65
13,00110010001011001100001110010100100001001111011110101111101100101101111101011000100001111110111001111000110101100110110001000111,True,True,True,True,True,True,True,True,True,True,69,62,26,3,6,8,8,67,64
14,10100011000001001101010110101111001001110000001101101001011100001110001001011011011010110010100001010110001111110011001100000000,True,True,True,True,True,True,True,True,True,True,59,66,33,12,9,7,7,67,60
15,00011110011110011101001110000000100000011001011011000011101100010110000000110111011010000010010100110011100110000100001110111101,True,True,True,True,True,True,True,True,True,True,58,56,21,16,3,6,9,63,65
16,10111011111110101010010011011101001110001111000110010111001001110111000110010111010111100111110000011011110011010101010011110111,True,True,True,True,True,True,True,True,True,True,76,65,32,2,8,4,4,64,64
17,01011110100000111110001010000011100100001001100001101111000000000111010101111011011011001000110110000011111001001111001000110010,True,True,True,True,True,True,True,True,True,True,60,57,25,14,4,7,9,64,65
18,00001011100101111101000011110000110101100000001101111110101110110111111110110011100110101110011111110111011101111110010010111010,True,True,True,True,True,True,True,True,True,True,78,57,28,7,6,4,4,63,64
19,10000111100001010101010011110010100110000000111110100110100110001000011011000011001100111111100111100101110100001000010010101110,True,True,True,True,True,True,True,True,True,True,61,62,30,10,8,7,8,65,64
20,11100100001101111000111011101000010100011001110001011010110100000000111100101101001110100001010001100101110011000111111101001000,True,True,True,True,True,True,True,True,True,True,62,62,29,8,6,7,9,64,63
21,11010111111000011111000100001101110011101111000100101110001001001100101001111010010011111100001110101110110101110001011110110000,True,True,True,True,True,True,True,True,True,True,70,60,27,4,6,8,7,63,62
22,11100110100101010110101110010001000010000010000101111000101011000001001011000011001011000101111110101010010011100000111011011111,True,True,True,True,True,True,True,True,True,True,61,67,37,9,12,12,9,64,64
23,01101010111000010101110111100100100110111001000010000110000111100000110001011000110101000010011100000101100010110100000001000000,True,True,True,True,True,True,True,True,True,True,52,61,30,16,8,10,11,64,64
24,10010010100000101111000010001001110111011100101110100000010010010100100111100001100100110100101100010100110011011110110101010001,True,True,True,True,True,True,True,True,True,True,59,71,38,7,8,13,7,63,65
25,00000110000110001100111100110010110011011111111001110001001011100001001101110011101100110111101001111001111100011010001101010110,True,True,True,True,True,True,True,True,True,True,69,59,20,4,4,4,7,65,64
26,10111101011110111111100010000001110000101010110100111001011010101000010111101010000110101011010000110101010110111010001000010100,True,True,True,True,True,True,True,True,True,True,64,74,50,8,15,6,8,64,63
27,11010000001111001001111010000100101110011110011010110010100011101011010111011001001001001101011000011011110100101011101010110000,True,True,True,True,True,True,True,True,True,True,65,72,39,6,10,8,4,64,62
28,11101001001110100110011100101111111100101100111000110101011010001011111001010110110110100011111100100010010111011111000100011001,True,True,True,True,True,True,True,True,True,True,72,67,33,0,8,9,6,63,65
29,00001110100100110011110010001101111001011101011100110101011000011100000010010100000101111111001000000001001110001001100100110001,True,True,True,True,True,True,True,True,True,True,58,60,26,12,6,10,8,64,66
30,00001111011100100110101100001000111100010101100010000000011010000101001000011111110010111101001000011110010010101100011010100011,True,True,True,True,True,True,True,True,True,True,58,62,31,10,8,10,11,64,65
